Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",1206,3,1u,
C2,CP_Radial_D6.3mm_P2.50mm,1,100u,
C4,CP_Radial_D10.0mm_P5.00mm,1,330u,
C5,1206,1,100n,
D1,D_SMA,1,D_Schottky,
D2,0402,1,LED,
F1,Fuse_Littelfuse_372_D8.50mm,1,Fuse,
"J1, J2",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,2,Screw_Terminal_01x02,
L1,1008,1,1u,
L2,L_7.3x7.3_H3.5,1,6.8u,
"R1, R3",0402,2,100k,
R2,0402,1,23.7k,
R4,0402,1,220,
RV1,RV_Disc_D7mm_W3.4mm_P5mm,1,Varistor,
U1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33630BDDA,
